Date,Amount
12/12/2014,-35.84
12/08/2014,-29
12/08/2014,-4.95
12/05/2014,"-1,341.59"
12/05/2014,4.55
12/05/2014,525
12/04/2014,-168.33
12/04/2014,-47.59
12/04/2014,-7
12/03/2014,-99.99
12/03/2014,-15
12/02/2014,-31.98
12/02/2014,99.99
12/01/2014,-73.14
11/30/2014,-10.59
11/28/2014,"1,996.06"
11/25/2014,-1.35
11/24/2014,"-1,800.94"
11/24/2014,-200
11/24/2014,-39
11/24/2014,-13.75
11/19/2014,-28
11/19/2014,-1.8
11/17/2014,-651.8
11/17/2014,-200
11/17/2014,247.5
11/14/2014,"1,996.06"
11/13/2014,-544.89
11/13/2014,-252.75
11/10/2014,-59.95
11/10/2014,-11.9
11/10/2014,17
11/07/2014,-450
11/06/2014,-66.77
11/06/2014,-37.22
11/06/2014,-24.16
11/05/2014,-45
11/05/2014,-29.99
11/04/2014,-189
11/04/2014,-112
11/04/2014,-87.62
11/04/2014,-31.31
11/04/2014,-7
11/03/2014,-250
11/03/2014,-5
11/03/2014,-4.99
11/03/2014,27.55
11/03/2014,62.62
10/31/2014,"1,996.06"
10/30/2014,-10.59
10/28/2014,-197
10/27/2014,-2.25
10/27/2014,"1,159.4"
10/21/2014,27.55
10/20/2014,-50
10/20/2014,-34
10/17/2014,"7,636.35"
10/16/2014,-104.94
10/15/2014,994.84
10/14/2014,-50
10/14/2014,-58.82
10/14/2014,-58.82
10/14/2014,-58.82
10/14/2014,-19
10/06/2014,-87.54
10/06/2014,-7
10/06/2014,23
10/06/2014,"1,091.75"
10/02/2014,-70
10/02/2014,-4.95
09/29/2014,-44.2
09/29/2014,-10.87
09/26/2014,23
09/24/2014,-47.6
09/23/2014,-15
09/19/2014,-29.25
09/17/2014,-29
09/15/2014,-36.91
09/15/2014,-19
09/11/2014,-70.4
09/11/2014,"2,895.64"
09/10/2014,387.75
09/08/2014,-25.06
09/08/2014,"1,540"
09/05/2014,23
09/04/2014,-108.81
09/04/2014,-7
09/04/2014,0.64
09/04/2014,0.78
09/02/2014,-4.95
09/02/2014,-310.42
09/02/2014,-70.41
09/02/2014,-10.87
09/02/2014,23
08/29/2014,715
08/28/2014,-225
08/28/2014,23
08/26/2014,23
08/25/2014,-47.8
08/22/2014,-257.64
08/21/2014,"1,716"
08/20/2014,-949.99
08/20/2014,27.55
08/18/2014,-9.97
08/18/2014,-5
08/12/2014,-10.87
08/11/2014,-373
08/11/2014,23
08/08/2014,-56.27
08/08/2014,4.55
08/08/2014,30
08/08/2014,30
08/07/2014,23
08/06/2014,-59
08/05/2014,-7
08/04/2014,"1,260"
08/03/2014,-4.95
07/28/2014,-20
07/28/2014,31.73
07/28/2014,"1,330"
07/25/2014,"1,970.96"
07/24/2014,-4
07/23/2014,-20
07/22/2014,-0.82
07/22/2014,0.3
07/22/2014,0.52
2014/07/21,275
07/19/2014,-64
07/17/2014,-2.4
07/16/2014,"1,500"
07/15/2014,-310
07/15/2014,-11
07/14/2014,-700
07/09/2014,"1,485"
07/07/2014,-5.65
07/07/2014,-4
2014/07/02,440
2014/06/24,440
06/23/2014,-20
06/21/2014,-30
06/16/2014,-64
06/14/2014,"1,760"
05/31/2014,-25
05/29/2014,-29
03/01/2014,-40
02/11/2014,-29
01/27/2014,-35
01/10/2014,-39.25
01/03/2014,-29